CustomerID,FirstName,LastName,AddressLine1,City,StateProvinceName,CountryRegionName,PostalCode,PhoneNumber,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,AveMonthSpend,BikeBuyer
36,Nathan,Simmons,1170 Shaw Rd,Glendale,California,United States,91203,296-555-0181,1976-02-24,Partial College,Skilled Manual,M,M,1,2,0,0,78150,77,0
37,Adam,Flores,6935 Candle Dr,Hervey Bay,Queensland,Australia,4655,1 (11) 500 555-0163,1949-05-24,Partial High School,Clerical,M,M,1,2,1,2,24007,76,0
38,Leonard,Nara,7466 La Vista Ave.,Matraville,New South Wales,Australia,2036,1 (11) 500 555-0151,1950-05-19,High School,Skilled Manual,M,S,0,2,0,3,51472,63,0
39,Christine,Yuan,2356 Orange St,Lavender Bay,New South Wales,Australia,2060,1 (11) 500 555-0113,1950-03-22,High School,Skilled Manual,F,M,1,2,0,3,50798,48,0
42,Alan,Zheng,2741 Gainborough Dr.,Hobart,Tasmania,Australia,7001,1 (11) 500 555-0135,1951-09-07,High School,Skilled Manual,M,M,1,2,0,3,58585,73,0
43,Daniel,Johnson,8085 Sunnyvale Avenue,Caloundra,Queensland,Australia,4551,1 (11) 500 555-0155,1951-08-04,High School,Skilled Manual,M,S,0,2,0,3,45982,64,0
44,Heidi,Lopez,2514 Via Cordona,Matraville,New South Wales,Australia,2036,1 (11) 500 555-0168,1951-08-07,Partial College,Clerical,F,S,0,2,0,2,50790,49,0
45,Ana,Price,1660 Stonyhill Circle,San Diego,California,United States,92102,859-555-0113,1980-08-20,Partial College,Skilled Manual,F,M,0,2,0,0,91599,51,0
46,Deanna,Munoz,5825 B Way,Geelong,Victoria,Australia,3220,1 (11) 500 555-0192,1952-03-10,Partial College,Skilled Manual,F,M,1,2,0,2,50018,43,0
47,Gilbert,Raje,8811 The Trees Dr.,East Brisbane,Queensland,Australia,4169,1 (11) 500 555-0129,1952-03-05,Partial College,Skilled Manual,M,M,1,2,0,2,53459,75,0
49,Carl,Andersen,6930 Lake Nadine Place,Lane Cove,New South Wales,Australia,1597,1 (11) 500 555-0181,1953-10-12,Graduate Degree,Management,M,M,1,2,0,2,119540,82,0
50,Marc,Diaz,6645 Sinaloa,Findon,South Australia,Australia,5023,1 (11) 500 555-0149,1954-04-27,Partial College,Skilled Manual,M,M,1,2,0,2,119982,87,0
51,Ashlee,Andersen,8255 Highland Road,Townsville,Queensland,Australia,4810,1 (11) 500 555-0112,1954-04-01,Partial College,Skilled Manual,F,S,1,2,0,2,86953,45,0
53,Todd,Gao,8808 Geneva Ave,Gold Coast,Queensland,Australia,4217,1 (11) 500 555-0191,1954-02-27,Partial College,Skilled Manual,M,M,1,2,0,2,110712,84,1
55,Angela,Murphy,4927 Virgil Street,Redmond,Washington,United States,98052,451-555-0162,1975-04-07,High School,Skilled Manual,F,S,1,2,0,0,49609,40,0
56,Chase,Reed,2721 Alexander Pl.,Downey,California,United States,90241,892-555-0184,1975-12-07,High School,Skilled Manual,M,M,1,2,0,0,58306,76,0
57,Jessica,Henderson,9343 Ironwood Way,La Jolla,California,United States,92806,278-555-0186,1973-10-09,Partial College,Skilled Manual,F,M,0,2,0,0,73388,48,1
58,Grace,Butler,4739 Garden Ave.,Lebanon,Oregon,United States,97355,712-555-0141,1973-11-27,Partial College,Professional,F,M,1,2,0,0,61686,50,0
59,Caleb,Carter,9563 Pennsylvania Blvd.,Port Orchard,Washington,United States,98366,944-555-0167,1976-09-25,Partial College,Professional,M,S,1,2,0,0,96049,70,1
60,Willie,Raji,6260 Vernal Drive,Sunbury,Victoria,Australia,3429,1 (11) 500 555-0151,1955-04-05,High School,Skilled Manual,M,M,1,2,0,2,109883,87,0
62,Casey,Luo,9513 Roslyn Drive,St. Leonards,New South Wales,Australia,2065,1 (11) 500 555-0125,1955-02-06,High School,Skilled Manual,F,S,0,2,0,2,97646,52,0
63,Amy,Ye,2262 Kirkwood Ct.,Springwood,New South Wales,Australia,2777,1 (11) 500 555-0185,1956-08-14,High School,Skilled Manual,F,S,1,2,0,2,58916,51,0
64,Levi,Arun,4661 Bluetail,Cloverdale,South Australia,Australia,6105,1 (11) 500 555-0127,1956-08-28,High School,Skilled Manual,M,S,1,2,0,2,93934,74,0
65,Felicia,Jimenez,786 Eastgate Ave,Bendigo,Victoria,Australia,3550,1 (11) 500 555-0165,1957-11-16,High School,Professional,F,S,1,2,0,2,99137,51,0
66,Blake,Anderson,5436 Clear,Wollongong,New South Wales,Australia,2500,1 (11) 500 555-0113,1957-07-13,High School,Professional,M,S,1,2,0,2,112044,73,0
67,Leah,Ye,1291 Arguello Blvd.,Melton,Victoria,Australia,3337,1 (11) 500 555-0154,1957-09-19,High School,Professional,F,S,0,2,0,2,108728,55,0
68,Gina,Martin,1349 Sol St.,Cliffside,British Columbia,Canada,V8Y 1L1,196-555-0114,1974-01-10,High School,Professional,F,S,0,2,0,0,49084,48,1
69,Donald,Gonzalez,4236 Malibu Place,Geelong,Victoria,Australia,3220,1 (11) 500 555-0137,1959-03-11,Graduate Degree,Management,M,S,1,2,0,0,172444,87,0
70,Damien,Chander,9941 Stonehedge Dr.,Perth,South Australia,Australia,6006,1 (11) 500 555-0111,1959-07-17,Graduate Degree,Management,M,M,1,2,0,0,181590,92,1
72,Angela,Butler,6040 Listing Ct,Fremont,California,United States,94536,579-555-0195,1966-08-04,Graduate Degree,Management,F,S,0,3,1,1,149717,62,1
73,Alyssa,Cox,867 La Orinda Place,Lincoln Acres,California,United States,91950,561-555-0140,1966-03-15,Graduate Degree,Management,F,M,1,3,1,1,163913,68,1
74,Emily,Johnson,7926 Stephanie Way,Newport Beach,California,United States,92625,850-555-0184,1957-07-19,High School,Professional,F,S,0,2,0,2,66900,47,0
75,Ryan,Brown,2939 Wesley Ct.,Santa Monica,California,United States,90401,539-555-0198,1957-12-23,Partial College,Professional,M,M,1,0,1,2,97834,98,0
76,Hunter,Davis,4308 Sand Pointe Lane,San Diego,California,United States,92102,612-555-0141,1957-11-25,Bachelors ,Management,M,M,1,0,1,2,129910,104,0
77,Abigail,Price,2685 Blackburn Ct,Long Beach,California,United States,90802,532-555-0117,1957-02-05,Bachelors ,Management,F,S,1,1,1,2,91729,57,1
78,Trevor,Bryant,5781 Sharon Dr.,Los Angeles,California,United States,90012,853-555-0174,1957-12-17,Partial College,Professional,M,S,1,1,0,2,113883,76,0
79,Dalton,Perez,6083 San Jose,Haney,British Columbia,Canada,V2W 1W2,559-555-0115,1957-04-04,Partial College,Professional,M,M,1,1,0,2,112820,82,0
80,Aimee,He,1833 Olympic Drive,Wollongong,New South Wales,Australia,2500,1 (11) 500 555-0161,1967-09-10,Graduate Degree,Management,F,M,1,0,0,0,106839,58,0
83,Andrés,Anand,5423 Los Gatos Ct.,North Sydney,New South Wales,Australia,2055,1 (11) 500 555-0184,1962-08-10,Bachelors ,Professional,M,M,1,1,0,1,106971,87,1
84,Edwin,Nara,719 William Way,Warrnambool,Victoria,Australia,3280,1 (11) 500 555-0112,1961-10-27,Partial College,Skilled Manual,M,M,1,1,0,1,98519,80,0
85,Mallory,Rubio,6452 Harris Circle,Rhodes,New South Wales,Australia,2138,1 (11) 500 555-0157,1961-05-01,Partial College,Skilled Manual,F,S,0,1,0,1,82707,54,0
86,Adam,Ross,4378 Westminster Place,Port Macquarie,New South Wales,Australia,2444,1 (11) 500 555-0186,1961-03-08,Bachelors ,Professional,M,M,1,1,0,1,103866,83,1
87,Latasha,Navarro,6954 Ranch Road,Cloverdale,South Australia,Australia,6105,1 (11) 500 555-0123,1960-09-15,Partial College,Skilled Manual,F,S,1,1,0,1,66520,46,0
88,Abby,Sai,7074 N. Spoonwood Court,Cranbourne,Victoria,Australia,3977,1 (11) 500 555-0174,1965-05-08,Bachelors ,Professional,F,S,0,1,0,0,75270,47,1
89,Julia,Nelson,2196 Coat Ct.,Sydney,New South Wales,Australia,1002,1 (11) 500 555-0124,1965-04-21,Bachelors ,Professional,F,S,1,4,5,5,95167,89,1
91,Edgar,Sara,6127 Lilly Lane,Gold Coast,Queensland,Australia,4217,1 (11) 500 555-0125,1964-03-11,Bachelors ,Professional,M,M,0,1,0,0,102445,85,0
93,Jessie,Liu,3063 Blue Jay Drive,Warrnambool,Victoria,Australia,3280,1 (11) 500 555-0163,1964-09-11,Bachelors ,Professional,M,S,0,1,0,0,97782,74,1
94,Bianca,Lin,7530 Eola,St. Leonards,New South Wales,Australia,2065,1 (11) 500 555-0121,1959-09-09,Bachelors ,Professional,F,M,1,1,0,1,117317,54,1
95,Ruben,Kapoor,1984 Glendale Circle,South Melbourne,Victoria,Australia,3205,1 (11) 500 555-0132,1963-11-05,Bachelors ,Professional,M,S,0,2,0,0,106891,79,1
96,Curtis,Yang,4052 Mt. Wilson Way,Darlinghurst,New South Wales,Australia,2010,1 (11) 500 555-0127,1962-06-06,Partial College,Skilled Manual,M,M,1,1,0,1,77012,74,1
97,Meredith,Gutierrez,7610 Northridge Ct.,Geelong,Victoria,Australia,3220,1 (11) 500 555-0179,1962-02-23,Partial College,Skilled Manual,F,M,1,1,0,1,62702,56,1
98,Crystal,Wang,2773 Kirkwood Dr,Hervey Bay,Queensland,Australia,4655,1 (11) 500 555-0134,1962-09-09,Partial College,Skilled Manual,F,M,1,1,0,1,73151,51,0
99,Micheal,Blanco,596 Marfargoa Drive,Perth,South Australia,Australia,6006,1 (11) 500 555-0131,1962-02-21,Bachelors ,Professional,M,M,1,2,4,5,104220,142,1
100,Kurt,Anand,Heiderweg 4983,Essen,Hamburg,Germany,45001,1 (11) 500 555-0115,1973-12-13,Partial High School,Manual,M,S,0,2,0,0,18709,61,0
102,Clinton,Carlson,7943 Cunha Ct.,Sydney,New South Wales,Australia,1002,1 (11) 500 555-0184,1962-10-07,Partial College,Skilled Manual,M,M,1,2,4,5,86770,140,1
105,Beth,Jiménez,7401 Las Palmas,Sydney,New South Wales,Australia,1002,1 (11) 500 555-0164,1936-08-09,Bachelors ,Management,F,S,1,1,0,2,52280,37,0
106,Byron,Vazquez,3187 Hackamore Lane,North Sydney,New South Wales,Australia,2055,1 (11) 500 555-0136,1960-04-02,Partial College,Skilled Manual,M,M,1,3,4,5,88615,143,0
107,Philip,Alvarez,2775 Mt. Olivet Pl.,Sunbury,Victoria,Australia,3429,1 (11) 500 555-0191,1960-06-20,Partial College,Skilled Manual,M,M,1,3,4,5,102114,140,1
108,Ross,Jordan,6973 Dublin Court,Warrnambool,Victoria,Australia,3280,1 (11) 500 555-0126,1957-07-27,Partial College,Skilled Manual,M,S,1,1,0,1,106875,80,1
109,Dana,Navarro,8481 Zartop Street,Seaford,Victoria,Australia,3198,1 (11) 500 555-0172,1956-04-08,Partial College,Skilled Manual,F,S,1,1,0,1,65730,46,0
110,Shaun,Carson,57 Wolf Way,North Ryde,New South Wales,Australia,2113,1 (11) 500 555-0155,1949-04-07,High School,Skilled Manual,M,M,0,2,1,2,32857,75,0
112,Julia,Wright,7397 Central Blvd.,Sedro Woolley,Washington,United States,98284,456-555-0174,1975-08-05,High School,Skilled Manual,F,S,1,1,0,0,32122,37,0
117,Larry,Townsend,7034 Carson,Perth,South Australia,Australia,6006,1 (11) 500 555-0130,1946-02-26,High School,Skilled Manual,M,S,1,2,0,5,26209,64,1
118,Marcus,Harris,9068 Quiet Place Drive,Burlingame,California,United States,94010,442-555-0119,1979-11-03,Partial High School,Clerical,M,S,0,2,0,0,64613,63,0
119,Brianna,Morgan,9005 Eagle Ct.,Metchosin,British Columbia,Canada,V9,954-555-0117,1978-10-26,High School,Skilled Manual,F,S,0,2,0,0,38527,46,0
120,Jasmine,Taylor,2457 Matterhorn Court,Spokane,Washington,United States,99202,557-555-0146,1978-07-20,High School,Skilled Manual,F,M,1,2,0,0,42811,47,0
121,Lauren,Davis,8105 Pembrook Court,Glendale,California,United States,91203,832-555-0121,1978-09-15,High School,Skilled Manual,F,M,0,2,0,0,48772,45,0
122,Tanya,Moreno,6155 Wilbur Drive,Cloverdale,South Australia,Australia,6105,1 (11) 500 555-0185,1938-11-09,Partial College,Clerical,F,S,0,2,0,2,27610,39,0
124,Nicole,Ramirez,1101 C Street,Daly City,California,United States,94015,152-555-0162,1977-06-21,High School,Skilled Manual,F,M,0,2,0,0,32916,43,0
125,Eduardo,Patterson,6255 Macalvey Dr.,Langford,British Columbia,Canada,V9,190-555-0184,1977-08-14,High School,Skilled Manual,M,S,0,2,0,0,63488,73,1
126,Jonathan,Henderson,165 East Lane Road,Lakewood,California,United States,90712,149-555-0113,1977-02-04,High School,Skilled Manual,M,M,1,2,0,0,43666,70,0
127,Edward,Hernandez,7607 Pine Hollow Road,Ballard,Washington,United States,98107,178-555-0196,1979-09-09,High School,Skilled Manual,M,S,0,2,0,0,54938,64,0
128,Jasmine,Coleman,1961 Oak Grove Road,Beaverton,Oregon,United States,97005,857-555-0115,1979-12-08,High School,Skilled Manual,F,S,0,2,0,0,29691,37,0
129,Karla,Goel,3272 Corrie Lane,Matraville,New South Wales,Australia,2036,1 (11) 500 555-0137,1939-08-26,Bachelors ,Management,F,S,1,2,0,2,66934,47,0
130,Ernest,Wu,1832 RiverRock Dr,Warrnambool,Victoria,Australia,3280,1 (11) 500 555-0139,1939-02-05,Graduate Degree,Management,M,M,1,1,0,2,124211,78,0
131,Ross,Vazquez,1201 Paso Del Rio Way,East Brisbane,Queensland,Australia,4169,1 (11) 500 555-0163,1941-08-16,Bachelors ,Management,M,M,1,2,0,2,63251,67,0
132,Theodore,Gill,9120 Pinewood Court,Hervey Bay,Queensland,Australia,4655,1 (11) 500 555-0194,1941-04-20,Bachelors ,Management,M,M,1,2,0,2,82448,71,0
133,Russell,Shen,4755 Easley Drive,Sunbury,Victoria,Australia,3429,1 (11) 500 555-0191,1941-03-15,Bachelors ,Management,M,S,1,2,0,2,77855,69,0
134,Melinda,Gill,805 Rainier Dr.,Sydney,New South Wales,Australia,1002,1 (11) 500 555-0117,1942-02-25,Graduate Degree,Management,F,S,0,1,0,2,94385,46,0
138,Hunter,Robinson,8356 Mori Court,Burbank,California,United States,91502,891-555-0125,1976-01-26,Partial College,Skilled Manual,M,S,0,1,0,0,60713,68,1
139,Hannah,Long,1832 Preston Ct.,Tacoma,Washington,United States,98403,974-555-0177,1975-06-11,High School,Skilled Manual,F,M,1,2,0,0,45639,50,0
141,Brianna,Hughes,6793 Bonifacio St.,Woodland Hills,California,United States,91364,319-555-0183,1975-09-17,High School,Skilled Manual,F,S,0,2,0,0,32033,40,0
142,Maurice,Tang,2886 Chaparral Court,Concord,California,United States,94519,947-555-0172,1974-01-08,Partial College,Skilled Manual,M,S,0,1,0,0,54434,69,0
144,Gabriel,Wang,8002 Crane Court,Spring Valley,California,United States,91977,617-555-0150,1974-12-20,Partial College,Skilled Manual,M,M,1,1,0,0,56829,66,0
145,Devin,Brooks,4231 Highland Dr.,Torrance,California,United States,90505,502-555-0138,1974-05-05,Partial College,Skilled Manual,M,S,0,1,0,0,48946,64,1
146,Jocelyn,Alexander,3376 Bank Way,Oakland,California,United States,94611,354-555-0134,1973-07-18,Partial College,Skilled Manual,F,M,0,1,0,0,89154,52,0
148,Bryce,Richardson,1841 Blackwood Drive,Coronado,California,United States,92118,178-555-0176,1968-06-22,Bachelors ,Management,M,M,1,1,4,4,116323,141,1
149,Carol,Howard,6281 Edward Ave,Burien,Washington,United States,98168,845-555-0127,1968-02-05,Bachelors ,Management,F,M,1,1,4,4,104668,91,1
151,Gabrielle,Adams,5621 Arcadia Pl.,Lynnwood,Washington,United States,98036,403-555-0152,1967-11-21,Bachelors ,Management,F,M,1,2,0,1,97616,55,0
152,Sarah,Thomas,5636 Mt. Whitney Dr.,W. Linn,Oregon,United States,97068,868-555-0188,1967-09-01,Graduate Degree,Management,F,S,0,4,0,0,151318,51,0
153,Nicholas,Robinson,1318 Lasalle Street,Los Angeles,California,United States,90012,949-555-0138,1967-07-13,Graduate Degree,Management,M,M,1,0,1,1,183231,109,1
154,Luis,Wang,6943 Patterson Blvd.,Beverly Hills,California,United States,90210,418-555-0127,1963-03-05,Partial College,Skilled Manual,M,S,1,2,0,0,98032,70,1
157,Molly,Rodriguez,5556 Riverland Dr.,Beverly Hills,California,United States,90210,135-555-0185,1943-06-14,Graduate Degree,Management,F,M,1,3,4,4,141844,91,0
158,April,Anand,3531 Brookview Drive,Chula Vista,California,United States,91910,702-555-0144,1943-01-02,Bachelors ,Management,F,M,1,4,3,3,145176,73,1
160,Stephanie,Torres,6968 Mildred Ln.,Sedro Woolley,Washington,United States,98284,567-555-0176,1944-08-25,Bachelors ,Management,F,S,1,2,0,4,80891,39,0
161,Jasmine,Lee,7502 Contuti Avenue,Santa Cruz,California,United States,95062,147-555-0199,1944-07-15,Bachelors ,Management,F,S,1,2,0,4,90366,51,1
163,Ashley,Henderson,8834 San Jose Ave.,Metchosin,British Columbia,Canada,V9,173-555-0121,1944-10-08,Bachelors ,Management,F,S,1,2,0,4,83404,48,0
164,Sarah,Price,4815 Paraiso Ct.,Palo Alto,California,United States,94303,180-555-0133,1944-05-21,Bachelors ,Management,F,S,1,2,0,4,79819,46,0
165,Jennifer,Cooper,2429 Longview Road,Burien,Washington,United States,98168,857-555-0111,1944-02-22,Graduate Degree,Management,F,M,1,2,0,4,85829,49,0
166,Catherine,Morris,6542 Stonewood Drive,San Gabriel,California,United States,91776,795-555-0117,1944-09-06,Graduate Degree,Management,F,M,0,2,0,4,104279,52,0
167,Lawrence,Blanco,7502 Contuti Avenue,Bellingham,Washington,United States,98225,656-555-0171,1944-07-15,Graduate Degree,Management,M,S,1,2,0,4,121950,75,0
168,Carson,Bryant,2995 Youngsdale Dr.,Beverly Hills,California,United States,90210,240-555-0142,1944-06-22,Bachelors ,Management,M,M,1,2,0,5,95877,77,0
169,Kristi,Perez,1769 Lislin Ct,Colma,California,United States,94014,123-555-0181,1945-12-18,Bachelors ,Management,F,S,1,3,0,5,80055,47,0
170,James,Brown,673 Old Mountain View Dr.,Seattle,Washington,United States,98104,725-555-0117,1945-09-13,Bachelors ,Management,M,M,1,2,0,4,112289,79,0
172,Jacqueline,Price,872 Mark Twain Dr,Palo Alto,California,United States,94303,266-555-0112,1945-06-10,Bachelors ,Management,F,M,1,2,0,4,89692,51,0
173,Megan,Henderson,8411 Mt. Olivet Place,Renton,Washington,United States,98055,560-555-0150,1946-02-10,Bachelors ,Management,F,M,1,3,0,5,86347,52,0
175,Andrea,Morris,1883 Green View Court,Seattle,Washington,United States,98104,715-555-0178,1946-06-18,Bachelors ,Management,F,M,0,1,1,3,86749,57,1
176,Brooke,Sanders,5192 Dumbarton Drive,Santa Cruz,California,United States,95062,215-555-0156,1946-11-26,Bachelors ,Management,F,S,1,1,1,4,84010,54,0
177,Jacqueline,Bennett,8948 Chinquapin Court,Burlingame,California,United States,94010,413-555-0174,1946-11-06,Bachelors ,Management,F,M,1,1,1,4,81296,59,0
178,Jason,Griffin,7239 Nicholas Drive,Victoria,British Columbia,Canada,V8V,232-555-0160,1947-11-22,Bachelors ,Management,M,M,1,1,1,4,101131,96,1
179,Amanda,Foster,3984 San Francisco,Santa Monica,California,United States,90401,505-555-0159,1947-08-18,Bachelors ,Management,F,M,1,1,1,4,83256,57,0
181,Luis,Diaz,3682 Diablo View Road,Port Hammond,British Columbia,Canada,V6B 3P7,171-555-0126,1948-08-21,High School,Professional,M,M,1,2,1,2,55404,83,0
184,Blake,Flores,9410 Ferry St.,Lynnwood,Washington,United States,98036,975-555-0163,1948-09-24,Partial College,Professional,M,M,1,1,1,2,96883,94,0
185,Maria,Reed,1413 Bridgeview St,Glendale,California,United States,91203,156-555-0163,1948-02-04,Bachelors ,Management,F,M,1,0,1,2,81421,54,1
188,Samantha,Russell,9256 Village Oaks Dr.,Haney,British Columbia,Canada,V2W 1W2,547-555-0121,1949-10-12,High School,Professional,F,M,1,2,1,2,50320,53,1
190,Stephanie,Murphy,5514 Grant Street,Edmonds,Washington,United States,98020,293-555-0151,1949-05-14,Partial College,Professional,F,S,1,2,1,2,69431,51,0
192,Jasmine,Torres,8328 San Francisco,Portland,Oregon,United States,97205,939-555-0130,1950-05-20,Partial College,Professional,F,S,1,2,1,2,79388,53,0
193,Natalie,Adams,6592 Bent Tree Lane,Portland,Oregon,United States,97205,300-555-0150,1950-02-11,Partial College,Professional,F,S,1,2,1,2,81490,55,1
194,Olivia,Brown,3964 Stony Hill Circle,Tacoma,Washington,United States,98403,414-555-0147,1950-09-11,Partial College,Professional,F,S,0,2,1,2,76220,54,0
195,Charles,Cook,6871 Bel Air Dr.,Woodburn,Oregon,United States,97071,755-555-0111,1950-12-02,High School,Professional,M,M,1,2,1,2,88557,92,0
197,Nathan,Perry,9714 Nicholas Drive,Lakewood,California,United States,90712,271-555-0191,1950-06-10,Partial College,Professional,M,M,1,1,2,4,107014,110,0
200,Tiffany,Li,6404 Del Mar Ave,Burien,Washington,United States,98168,197-555-0118,1951-09-06,High School,Professional,F,S,1,2,1,2,58807,52,0
202,Sydney,Ross,5252 Santa Fe,W. Linn,Oregon,United States,97068,219-555-0146,1951-09-27,Partial College,Professional,F,M,1,1,1,2,69781,59,0
203,Marshall,Chavez,9022 Estudillo Street,Colma,California,United States,94014,712-555-0116,1951-08-12,Partial College,Professional,M,S,1,2,1,2,107126,92,1
206,Amber,Turner,6345 Ridge Circle,Santa Monica,California,United States,90401,155-555-0131,1951-04-03,Partial College,Professional,F,M,0,2,2,4,82373,68,0
208,Hailey,Bryant,2828 Rogers Ave.,Everett,Washington,United States,98201,156-555-0195,1952-09-27,High School,Professional,F,M,0,2,1,3,89815,58,1
210,Anna,Griffin,7221 Peachwillow Street,Long Beach,California,United States,90802,965-555-0146,1952-11-19,Partial College,Professional,F,S,1,2,2,4,81567,58,1
211,Angel,Stewart,2585 La Salle Ct.,Ballard,Washington,United States,98107,540-555-0122,1952-02-08,Partial College,Professional,M,M,1,2,2,4,97258,109,0
212,Jeremy,Butler,8811 The Trees Dr.,Bellingham,Washington,United States,98225,980-555-0117,1952-03-05,Partial College,Professional,M,S,1,2,2,5,104005,107,1
213,Clarence,Anand,Welt Platz 6,Solingen,Nordrhein-Westfalen,Germany,42651,1 (11) 500 555-0191,1958-09-23,Bachelors ,Management,M,S,0,4,3,3,164291,126,1
214,Mayra,Prasad,1119 Elderwood Dr.,Birmingham,England,United Kingdom,B29 6SL,1 (11) 500 555-0116,1958-08-10,Bachelors ,Management,F,S,0,4,3,3,138418,80,1
215,Latoya,Goel,8154 Pheasant Circle,London,England,United Kingdom,SW1P 2NU,1 (11) 500 555-0149,1958-10-06,Partial College,Professional,F,M,0,2,4,4,123475,98,0
216,Anne,Hernandez,76 Woodcrest Dr.,Watford,England,United Kingdom,WA3,1 (11) 500 555-0119,1958-12-11,Partial College,Professional,F,M,1,4,3,3,136555,88,1
217,Lisa,Cai,"102, rue de Berri",Les Ulis,Essonne,France,91940,1 (11) 500 555-0125,1957-10-11,Partial College,Professional,F,S,1,4,3,3,114730,80,1
218,Larry,Munoz,Midi-Couleurs,Versailles,Yveline,France,78000,1 (11) 500 555-0193,1957-11-11,Partial College,Professional,M,M,1,3,4,4,160265,153,1
